tahun;provinsi;kabupaten;kecamatan;kelurahan
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;MLIRIPROWO
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;KEDUNGBOCOK
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;SINGOGALIH
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;TARIK
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;MERGOBENER
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;MERGOSARI
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;KENDALSEWU
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;KLANTINGSARI
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;KALIMATI
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;GEMPOLKLUTUK
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;BANJARWUNGU
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;BALONGMACEKAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;GAMPINGROWO
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;SEBANI
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;KRAMATTEMENGGUNG
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;MINDUGADING
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;KEMUNING
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;JANTI
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;SEGODOBANCANG
2020;PROVINSI JAWA TIMUR;SIDOARJO;TARIK;KEDINDING
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;PRAMBON
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;KAJARTENGGULI
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;GEDANGROWO
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;WIROBITING
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;SIMPANG
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;BULANG
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;GAMPANG
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;JATIKALANG
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;JATIALUN-ALUN
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;PEJANGKUNGAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;KEDUNGSUGO
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;KEDUNGWONOKERTO
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;BENDOTRETEK
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;WONOPLINTAHAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;KEDUNGKEMBAR
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;JEDONGCANGKRING
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;CANGKRINGTURI
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;SIMOGIRANG
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;TEMU
2020;PROVINSI JAWA TIMUR;SIDOARJO;PRAMBON;WATUTULIS
2020;PROVINSI JAWA TIMUR;SIDOARJO;KREMBUNG;TAMBAKREJO
2020;PROVINSI JAWA TIMUR;SIDOARJO;KREMBUNG;KEPER
2020;PROVINSI JAWA TIMUR;SIDOARJO;KREMBUNG;KEDUNGSUMUR
2020;PROVINSI JAWA TIMUR;SIDOARJO;KREMBUNG;KEDUNGRAWAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;KREMBUNG;TANJEKWAGIR
2020;PROVINSI JAWA TIMUR;SIDOARJO;KREMBUNG;MOJORUNTUT
2020;PROVINSI JAWA TIMUR;SIDOARJO;KREMBUNG;GADING
