R,G,B,Class
205,92,92,1
240,128,128,1
250,128,114,1
233,150,122,1
255,160,122,1
220,20,60,1
255,0,0,1
178,34,34,1
139,0,0,1
255,192,203,1
255,182,193,1
255,105,180,1
255,20,147,1
199,21,133,1
219,112,147,1
230,230,250,2
216,191,216,2
221,160,221,2
238,130,238,2
218,112,214,2
255,0,255,2
255,0,255,2
186,85,211,2
147,112,219,2
138,43,226,2
148,0,211,2
153,50,204,2
139,0,139,2
128,0,128,2
75,0,130,2
106,90,205,2
72,61,139,2
173,255,47,3
127,255,0,3
124,252,0,3
0,255,0,3
50,205,50,3
152,251,152,3
144,238,144,3
0,250,154,3
0,255,127,3
60,179,113,3
46,139,87,3
34,139,34,3
0,128,0,3
0,100,0,3
154,205,50,3
107,142,35,3
128,128,0,3
85,107,47,3
102,205,170,3
143,188,143,3
32,178,170,3
0,139,139,3
0,128,128,3
255,248,220,4
255,235,205,4
255,228,196,4
255,222,173,4
245,222,179,4
222,184,135,4
210,180,140,4
188,143,143,4
244,164,96,4
218,165,32,4
184,134,11,4
205,133,63,4
210,105,30,4
139,69,19,4
160,82,45,4
165,42,42,4
128,0,0,4
